CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,NOM_LOC,CVE_ENT_1,CVE_MUN_1,NOM_MUN
07,089,1018,0297,Dorados de Villa,07,054,Mazatán
07,055,0005,0015,Los Hules,07,102,Tuxtla Chico
07,103,0215,0014,Villa Hidalgo,07,089,Tapachula
07,057,0575,0062,La Ceiba,07,103,Tuzantán
20,453,0011,0018,Barra de la Cruz,20,307,San Pedro Huamelula
07,097,1527,0212,"Isla, Mar y Tierra",07,069,Pijijiapan
20,453,0012,0018,Zimatán,20,307,San Pedro Huamelula
20,324,0238,0190,Unión de Guerrero,20,253,San Mateo Piñas
20,324,0237,0190,San Pedro Cafetitlán,20,253,San Mateo Piñas
20,526,0101,004A,San Isidro Campechero,20,334,Villa de Tututepec
20,324,0235,0010,Los Naranjos Esquipulas,20,306,San Pedro el Alto
20,291,0007,0037,Tamarindo,20,344,San Sebastián Coatlán
20,266,0121,0015,Santa Catarina Jamixtepec,20,125,San Carlos Yautepec
20,211,0018,0021,Cerro de Olla,20,266,San Miguel del Puerto
20,143,0063,0049,Cachimbo,20,141,San Francisco del Mar
20,154,0005,0019,El Extebe,20,347,San Sebastián Río Hondo
07,083,0197,0081,Tierra y Libertad,07,104,Tzimol
07,083,0210,0081,San Pedro Pedernal,07,104,Tzimol
20,154,0013,0019,La Paz Xanaguía,20,347,San Sebastián Río Hondo
20,364,0109,0020,San Lucas el Vidrio,20,202,San Juan Lachao
20,059,0115,0081,Sitio de Lachidoblas,20,347,San Sebastián Río Hondo
20,154,0003,0019,La Reforma,20,347,San Sebastián Río Hondo
20,213,0035,0030,Atrás del Peñasco,20,272,San Miguel Panixtlahuaca
20,059,0114,0081,Santa María el Palmar,20,154,San Ildefonso Amatlán
07,041,0572,0128,Santa Martha,07,099,La Trinitaria
20,141,0106,0114,Puerto Grande,20,143,San Francisco Ixhuatán
20,141,0099,0114,Santa Rita,20,143,San Francisco Ixhuatán
20,141,0100,0044,El Vergel del Maíz,20,143,San Francisco Ixhuatán
20,141,0085,0044,Colonia Villanueva,20,143,San Francisco Ixhuatán
20,188,0020,0017,La Soledad,20,082,San Agustín Chayuco
20,028,0042,0066,La Escalera,20,015,Coatecas Altas
20,043,0152,0202,Colonia San Isidro,20,441,Santa María Xadani
07,052,0335,023A,San Mateo Zapotal,07,115,Maravilla Tenejapa
20,043,0153,0185,Colonia San Vicente,20,441,Santa María Xadani
12,023,0220,0262,Rancho Mario Navarrete,12,013,Azoyú
20,061,0002,0018,Santa María Velató,20,015,Coatecas Altas
07,052,0464,0329,San Rafael,07,041,La Independencia
07,052,0869,0333,La Esmeralda de los Cipreses,07,041,La Independencia
07,052,0312,030A,Santa Margarita Agua Azul,07,115,Maravilla Tenejapa
07,041,0566,0062,El Porvenir,07,052,Las Margaritas
12,025,0031,0197,Estero del Marquez (Cachumbo),12,030,Florencio Villarreal
12,018,0068,0065,La Loma del Chivo,12,025,Cuautepec
12,025,0039,0182,La Ceiba,12,018,Copala
20,420,0009,0017,Rincón Hacienda Vieja,20,535,San Vicente Lachixío
12,036,0031,0082,El Mango,12,013,Azoyú
07,075,0036,0056,San Mateo,07,019,Comitán de Domínguez
20,420,0010,0017,Loma Larga,20,535,San Vicente Lachixío
12,025,0051,0197,La Soledad,12,030,Florencio Villarreal
12,036,0008,0082,La Reforma,12,013,Azoyú
12,077,0021,0070,Las Palmas,12,013,Azoyú
07,059,2054,0917,Emiliano Zapata,07,052,Las Margaritas
12,001,0493,2045,La Arena,12,053,San Marcos
12,001,0242,2045,Bella Vista Papagayo,12,053,San Marcos
12,062,0064,028A,El Aguacate (Camino a Xochistlahuaca),12,046,Ometepec
12,001,0694,1992,Rancho el Tamarindillo,12,053,San Marcos
12,062,0128,028A,El Mesón,12,046,Ometepec
12,071,0125,026A,Rancho las Tortolitas,12,046,Ometepec
12,025,0049,0178,Fábrica Vieja,12,012,Ayutla de los Libres
20,088,0018,0045,El Limón,20,447,Santa María Zacatepec
20,200,0013,0032,El Zapote,20,064,Nejapa de Madero
20,570,0096,0226,San José Guelatová de Díaz,20,387,Santa Gertrudis
20,570,0095,0226,La Santa Cruz,20,295,San Pablo Huixtepec
20,073,0116,0080,El Carrizal de Galeana,20,088,San Andrés Cabecera Nueva
07,052,0902,0136,Victórico R. Grajales,07,004,Altamirano
20,412,0044,0015,Las Palmas (El Palmar),20,036,Guevea de Humboldt
20,273,0014,001A,El Tecolote,20,108,San Antonio Huitepec
