CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,NOMGEO
32,024,0008,006A,Crisóstomos
01,005,0019,0073,Cieneguitas
01,006,0249,0047,San Agustín de los Puentes
01,006,0264,0013,Ejido el Mezquite (Ojo de Agua del Mezquite)
01,011,0051,009A,La Providencia
32,024,0010,0021,Ejido Hidalgo
01,001,1178,1138,Granjas Fátima
01,001,1184,1246,Parque Industrial de Logística Automotriz (PILA)
01,001,2469,1763,Parque Industrial Douki Seisan Park (DSP)
01,001,2379,1123,Edén los Sabinos
01,003,0110,0100,Crucero las Pilas
01,005,0017,0035,El Cenizo
01,008,0023,0145,San Antonio de los Ríos
01,010,0101,0092,Santa Elena
01,010,0074,011A,El Retoño
32,007,0050,0054,La Curva
32,007,0021,0105,Pabellón Hidalgo (El Pabellón)
01,004,0030,0038,El Salero
32,010,0193,0280,El Salto
32,020,0052,0107,Lo de Nava
32,020,0012,0094,San Juan del Centro
32,020,0024,0198,Ermita de Guadalupe
32,014,0020,0129,General Manuel Ávila Camacho (Mesillas)
32,014,0057,0025,Villa Cárdenas
32,038,0160,0065,San Andrés
32,026,0165,1113,La Fábrica
32,023,0024,001A,Mezquitera Sur
32,052,0061,0030,La Puerta de Jalisco
32,051,0004,0118,Aldea de Codornices (Jesús María)
32,037,0017,0015,Los Pozos
32,038,0152,014A,El Remanente
32,049,0111,0533,San Juan Capistrano
32,049,0072,050A,Palmitos
32,040,0017,0059,Francisco I. Madero (San Isidro)
32,046,0030,0029,El Maresito
32,055,0049,0066,Ojo de Agua del Tigre
32,055,0069,009A,El Salto
32,056,0028,0025,Cieneguillas
32,056,0034,0167,García de la Cadena (El Visitador)
32,001,0030,0027,Los Llamas (San Isidro)
32,001,0056,0027,El Tule
32,001,0034,0012,Media Luna
32,001,0090,0027,La Tiricia
32,023,0098,0039,Mezquitera Norte
32,003,0019,0021,Salisflor
32,003,0010,0017,El Durazno
32,010,0083,0717,Las Catarinas
32,009,0067,0097,La Purísima (Ojo del Toro)
32,021,0014,0034,Ventura (Buenaventura)
32,010,0140,0172,Colonia Montemariana (Colonia Mariana)
01,002,0030,0033,Lázaro Cárdenas
32,038,0075,0205,Jaltomate
32,010,0134,037A,Rafael Yáñez Sosa (El Mezquite)
32,010,0092,0384,Chichimequillas
32,010,1289,0717,Las Tres Marías
32,017,0017,0031,La Luz
32,010,0188,0647,Rincón de la Florida
24,049,0039,0100,Sauz de Calera
32,026,0052,0331,Los Novillos
32,017,0038,0050,Santa Mónica
32,045,0045,0021,El Terrero
32,019,0055,0021,Guadalupe Victoria (La Villita)
32,019,0133,0074,San José de Huaracha
32,010,0155,076A,Órganos
32,020,0097,0126,San Rafael
32,024,0077,0074,El Matorral
32,035,0012,0044,Puerto de Juan Alberto
32,026,0017,0327,Cedros
32,026,0047,0581,La Mejorada
32,026,0023,0596,Cuitláhuac (Santa Gertrudis)
32,026,0250,005A,Francisco Villa Uno
32,027,0013,0019,Presa de los Ángeles (La Presa)
32,029,0005,0102,Manantial de la Honda (Carboneras)
32,005,0190,0045,Calera [Parque Industrial]
32,034,0301,0066,Los Tolentinos (Los Bordos)
32,034,0247,0051,Colonia Lindavista
32,034,0307,0085,Los Tepetates
32,035,0035,0025,Genaro [Estación]
32,037,0029,002A,Valle Hermoso
32,051,0190,0349,San Antonio de la Rosa (San Antonio)
32,038,0059,0046,Espíritu Santo
32,038,0219,0116,La Victoria
32,049,0086,0196,Colonia Progreso (La Cadena)
32,039,0019,0043,José María Morelos y Pavón (La Almoloya)
32,039,0029,0128,San Felipe
32,039,0027,0081,Los Ramírez
32,049,0084,0209,Las Pomas (Las Palomas)
32,049,0144,0393,Vicente Escudero (Viudas)
32,039,0003,0147,Anastasio V. Hinojosa
32,010,0097,0011,Emiliano Zapata (El Terreadero)
32,040,0018,0010,El Fresno
32,041,0003,0056,General Gertrudis Sánchez (Santa Rita)
32,042,0008,0091,Benito Juárez
10,038,0009,0139,San José de las Corrientes
32,042,0185,0138,El Álamo
32,042,0032,0157,Emiliano Zapata (Juanes)
32,042,0103,0180,San Francisco de las Flores (El Ranchito)
32,046,0052,0052,La Troje
32,051,0020,0067,La Colorada [Estación de Ferrocarril]
32,051,0038,0298,Manganita
32,016,0061,0034,Colonia Aurelio Pámanes Escobedo (El Socorro)
31,033,0003,0100,Cuch Holoch
31,101,0016,0155,Ticimul
31,059,0009,0342,San Ignacio
31,052,0018,0110,Tanyá
31,093,0005,0081,Euán
31,002,0014,0053,Dzitiná
31,094,0005,0055,Chicán
31,036,0012,0070,San Isidro Ochil
31,046,0065,0062,Nuevo San Juan
31,006,0002,0122,X-Bec
31,085,0178,0130,Ekbalam
31,076,0011,0076,Sotuta de Peón
31,076,0007,0076,Oxtapacab
31,076,0003,0076,Itzincab
31,050,0268,2038,Oncán
31,050,0090,2057,Dzununcán
31,034,0003,0042,Sahcabá
31,093,0010,0081,Ruinas de Aké
31,050,0140,2038,Yaxché Casares
31,051,0006,0043,Tekat
31,102,0655,0186,Santa Eleuteria
31,076,0002,0076,Chinkilá
31,014,0040,0035,X-Akabchén
31,030,0076,0096,Yaxché
31,102,0149,0171,X-Cohuó
31,102,0481,0171,X-Bacab
31,102,0631,0222,Bolmay
31,021,0033,0059,Chan Pich
31,021,0022,0078,Chan X-Cail
31,081,0011,0057,X-Cocmil
31,092,0004,0101,Ekpedz
31,101,0013,0155,San Antonio Mulix
31,098,0039,0177,Xcobiakal (Xcobilakal)
31,002,0010,0053,Tepich Carrillo
31,026,0035,006A,San Benito
