CVE_ENT,CVE_MUN,CVE_LOC,NOMGEO
32,024,0008,Crisóstomos
32,024,0010,Ejido Hidalgo
01,006,0264,Ejido el Mezquite (Ojo de Agua del Mezquite)
31,014,0040,X-Akabchén
31,102,0149,X-Cohuó
31,102,0481,X-Bacab
31,102,0631,Bolmay
31,093,0010,Ruinas de Aké
31,050,0140,Yaxché Casares
31,051,0006,Tekat
31,102,0655,Santa Eleuteria
31,076,0002,Chinkilá
31,081,0011,X-Cocmil
31,092,0004,Ekpedz
31,101,0013,San Antonio Mulix
31,059,0009,San Ignacio
31,076,0011,Sotuta de Peón
31,101,0006,Hotzuc
31,101,0016,Ticimul
31,026,0035,San Benito
31,002,0010,Tepich Carrillo
31,048,0018,Santa Cruz
31,098,0039,Xcobiakal (Xcobilakal)
31,014,0013,Chebalam
31,017,0014,X-Bohom
31,099,0080,San Lorenzo
31,063,0004,San Antonio Tedzidz
31,048,0010,Kanachén
31,093,0005,Euán
31,101,0012,San Antonio Chum
31,002,0014,Dzitiná
31,050,0090,Dzununcán
31,034,0003,Sahcabá
31,040,0004,Cuauhtémoc
31,009,0003,San Antonio Xiat
31,052,0017,San Pedro Chacabal
31,067,0046,Holactún
31,094,0005,Chicán
31,036,0012,San Isidro Ochil
31,056,0149,Huntochac
31,046,0065,Nuevo San Juan
31,017,0083,Muchucuxcáh
31,006,0002,X-Bec
31,084,0003,Chenché de las Torres
31,076,0007,Oxtapacab
31,076,0003,Itzincab
31,030,0076,Yaxché
31,021,0024,Nuevo X-Habín
31,050,0268,Oncán
31,004,0010,Tixkuncheil
31,013,0006,X-Cuyum
32,023,0098,Mezquitera Norte
32,010,0083,Las Catarinas
01,004,0030,El Salero
32,021,0014,Ventura (Buenaventura)
24,049,0039,Sauz de Calera
32,010,0155,Órganos
32,035,0012,Puerto de Juan Alberto
32,052,0061,La Puerta de Jalisco
32,051,0004,Aldea de Codornices (Jesús María)
32,026,0250,Francisco Villa Uno
32,005,0190,Calera [Parque Industrial]
32,010,0097,Emiliano Zapata (El Terreadero)
10,038,0009,San José de las Corrientes
32,040,0017,Francisco I. Madero (San Isidro)
01,002,0030,Lázaro Cárdenas
32,038,0075,Jaltomate
32,016,0061,Colonia Aurelio Pámanes Escobedo (El Socorro)
02,001,2142,Buena Vista
02,004,1961,Ley del Servicio Civil
03,008,0048,Buenavista
04,005,0003,Chunkanán
04,004,0012,Profesor Graciano Sánchez
04,004,0016,La Joya
05,014,0022,Santa María
19,037,0026,Espinazo (Espinazo Nuevo León)
05,026,0006,San Alberto
05,033,0048,Nuevo Mundo
05,024,0058,Notillas
05,024,0089,San José de la Unión
05,027,0728,Sector ll Vynmsa [Parque Industrial]
19,017,0474,Las Esperanzas
05,021,0002,Villa de Bucareli (La Villita)
05,021,0009,Nuevo Poblado de Sardinas
05,009,0046,San José de la Niña
05,009,0036,Nuevo León
05,009,0003,Alamito
05,033,0231,Presa de Guadalupe (Vida Nueva)
05,035,0187,Ricardo Flores Magón
05,035,0174,Nuevo Mieleras (La Tres)
05,036,0005,Buenavista
05,036,0030,La Rosita
10,012,0193,Nazareno de Abajo
05,038,0025,La Maroma
05,011,0074,El Tejocote
05,030,1144,Sector l Vynmsa [Parque Industrial]
05,017,0149,Rancho de Afuera
05,017,0068,Corona
10,012,0465,Colonia Buenos Aires
05,017,0072,Las Palomas
05,012,0021,Guadalupe
06,003,0023,Nogueras
07,003,0068,Jiquilpan (Estación Bonanza)
07,032,0316,Guadalupe
07,001,0038,El Tumbador
07,032,0264,Ricardo Flores Magón
07,051,0882,Francisco I. Madero
07,052,0902,Victórico R. Grajales
07,059,0031,Santa María de las Flores
07,010,0004,El Cercadillo
07,010,0012,Reforma
07,011,0003,Chemic
07,011,0017,San Juan Progreso
07,034,0125,Agua Zarca
07,034,0421,Nuevo Mexicalapa
07,117,0023,Laguna del Cofre
07,048,0034,El Triunfo 2da. Sección
07,049,0081,Chuchiltón Anexo Potobtic Dos
07,046,0362,Absalón Castellanos Domínguez
07,046,0361,Llano Grande
07,052,0239,Plan de Agua Prieta
07,075,0036,San Mateo
07,099,0239,San Juan del Valle
07,099,0221,San Caralampio Monte Pálido
07,104,0110,Nueva Libertad
07,008,0025,Salvador Urbina
07,038,0003,Carmen Yalchuch
07,022,0032,Tzomoltón
07,023,0127,Bashequen
07,063,0008,Libertad Campesina
07,034,0006,Benito Juárez
07,100,0063,Arroyo Agua Azul
07,109,0233,El Recreo
07,001,0159,Quince de Septiembre
07,055,0004,Candelaria
07,078,0077,Guadalupe Shuncalá
07,078,0121,Buenavista
07,078,0039,Yashitinín
07,093,0007,Chalam
07,071,0221,Altamira Uno
07,071,0231,San Miguel
07,103,0015,Nueva Tenochtitlán
07,019,0088,El Prado
07,052,0654,Nuevo Plan de Ayala
07,052,0869,La Esmeralda de los Cipreses
07,052,0464,San Rafael
07,025,0026,San Miguel Buenavista
07,068,0099,Los Cascabeles
07,108,0346,Josefa Ortiz de Domínguez
07,013,0007,Allende Esquipulas
07,013,0123,Shashalpa
07,014,0045,San Cayetano
07,023,0012,Callejón
07,023,0024,Epalchén
07,003,0012,Consuelo Ulapa
07,059,2054,Emiliano Zapata
07,059,0204,San Quintín
07,099,0472,José Castillo Tiélemans
07,099,1044,Nuevo Paraíso
07,089,1018,Dorados de Villa
07,032,0149,Zacualpa Dos
07,040,0380,La Ceiba
07,039,0195,Dieciocho de Abril
07,035,0089,Texcaltic
07,102,0014,Omoha
07,023,0020,Chicumtantic
07,023,0115,Ch'Ultic
07,023,0107,Va'Alch'En
